Open_Hours,Reference_Id
"Monday: 8:30 AM – 8:00 PM,Tuesday: 8:30 AM – 8:00 PM,Wednesday: 8:30 AM – 8:00 PM,Thursday: 8:30 AM – 8:00 PM,Friday: 8:30 AM – 8:00 PM,Saturday: 8:30 AM – 8:00 PM,Sunday: 8:30 AM – 12:30 PM",2
"Monday: Closed,Tuesday: 8:30 AM – 12:00 PM/2:00 – 7:00 PM,Wednesday: 8:30 AM – 12:00 PM/2:00 – 7:00 PM,Thursday: 8:30 AM – 12:00 PM/2:00 – 7:00 PM,Friday: 8:30 AM – 12:00 PM/2:00 – 7:00 PM,Saturday: 8:30 AM – 7:00 PM,Sunday: Closed",3
"Monday: Closed,Tuesday: 12:00 – 2:00 PM/7:45 – 9:30 PM,Wednesday: 12:00 – 2:00 PM/7:45 – 9:30 PM,Thursday: 12:00 – 2:00 PM/7:45 – 9:30 PM,Friday: 12:00 – 2:00 PM/7:45 – 9:30 PM,Saturday: 12:00 – 2:00 PM/7:45 – 9:30 PM,Sunday: Closed",4
"Monday: 12:00 – 1:30 PM/6:00 – 9:30 PM,Tuesday: 12:00 – 1:30 PM/6:00 – 9:30 PM,Wednesday: 12:00 – 1:30 PM/6:00 – 9:30 PM,Thursday: 12:00 – 1:30 PM/6:00 – 9:30 PM,Friday: 12:00 – 1:30 PM/6:00 – 9:30 PM,Saturday: Closed,Sunday: Closed",5
"Monday: 9:00 AM – 12:00 PM/2:00 – 6:30 PM,Tuesday: 9:00 AM – 12:00 PM/2:00 – 6:30 PM,Wednesday: 9:00 AM – 12:00 PM/2:00 – 6:30 PM,Thursday: 9:00 AM – 12:00 PM/2:00 – 6:30 PM,Friday: 9:00 AM – 12:00 PM/2:00 – 6:30 PM,Saturday: 9:00 AM – 12:00 PM/2:00 – 6:30 PM,Sunday: Closed",6
"Monday: Closed,Tuesday: 4:00 – 10:00 PM,Wednesday: 4:00 – 10:00 PM,Thursday: 4:00 – 10:00 PM,Friday: 4:00 – 10:00 PM,Saturday: 4:00 – 10:00 PM,Sunday: Closed",7
"Monday: Closed,Tuesday: 4:00 – 10:00 PM,Wednesday: 4:00 – 10:00 PM,Thursday: 4:00 – 10:00 PM,Friday: 4:00 – 10:00 PM,Saturday: 4:00 – 10:00 PM,Sunday: Closed",8
"Monday: 9:30 AM – 8:00 PM,Tuesday: 9:30 AM – 8:00 PM,Wednesday: 9:30 AM – 8:00 PM,Thursday: 9:30 AM – 8:00 PM,Friday: 9:30 AM – 8:00 PM,Saturday: 9:30 AM – 8:00 PM,Sunday: 9:00 AM – 1:00 PM",9
"Monday: 8:30 AM – 7:30 PM,Tuesday: 8:30 AM – 7:30 PM,Wednesday: 8:30 AM – 7:30 PM,Thursday: 8:30 AM – 7:30 PM,Friday: 8:30 AM – 8:00 PM,Saturday: 8:30 AM – 8:00 PM,Sunday: 8:30 AM – 12:30 PM",10
"Monday: 9:00 AM – 6:00 PM,Tuesday: 9:00 AM – 6:00 PM,Wednesday: 9:00 AM – 6:00 PM,Thursday: 9:00 AM – 6:00 PM,Friday: 9:00 AM – 6:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: Closed",11
"Monday: Closed,Tuesday: 9:30 AM – 12:15 PM/2:15 – 7:00 PM,Wednesday: 9:30 AM – 12:15 PM/2:15 – 7:00 PM,Thursday: 9:30 AM – 12:15 PM/2:15 – 7:00 PM,Friday: 9:30 AM – 12:15 PM/2:15 – 7:00 PM,Saturday: 9:30 AM – 12:15 PM/2:15 – 7:00 PM,Sunday: Closed",12
"Monday: Closed,Tuesday: 9:30 – 11:45 AM/2:00 – 7:00 PM,Wednesday: 9:30 – 11:45 AM/2:00 – 7:00 PM,Thursday: 9:30 – 11:45 AM/2:00 – 7:00 PM,Friday: 9:30 – 11:45 AM/2:00 – 7:00 PM,Saturday: 9:00 AM – 12:00 PM/2:00 – 7:00 PM,Sunday: 2:00 – 6:00 PM",13
"Monday: 10:00 AM – 3:00 PM,Tuesday: 10:00 AM – 10:00 PM,Wednesday: 9:00 AM – 10:00 PM,Thursday: 10:00 AM – 12:00 AM,Friday: 10:00 AM – 12:00 AM,Saturday: 10:00 AM – 11:00 PM,Sunday: Closed",14
"Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: 2:00 – 7:00 PM,Friday: 10:00 AM – 12:00 PM/2:00 – 7:00 PM,Saturday: 10:00 AM – 12:00 PM/2:00 – 7:00 PM,Sunday: Closed",15
"Monday: Closed,Tuesday: 10:00 AM – 1:00 PM/3:00 – 7:00 PM,Wednesday: 10:00 AM – 1:00 PM/3:00 – 7:00 PM,Thursday: 10:00 AM – 1:00 PM/3:00 – 11:00 PM,Friday: 10:00 AM – 1:00 PM/3:00 – 11:00 PM,Saturday: 10:00 AM – 7:00 PM,Sunday: Closed",16
"Monday: 12:00 – 2:30 PM/7:00 – 10:30 PM,Tuesday: 12:00 – 2:30 PM/7:00 – 10:30 PM,Wednesday: 12:00 – 2:30 PM/7:00 – 10:30 PM,Thursday: 12:00 – 2:30 PM/7:00 – 10:30 PM,Friday: 12:00 – 2:30 PM/7:00 – 11:00 PM,Saturday: 12:00 – 3:00 PM/7:00 – 11:00 PM,Sunday: 12:00 – 3:00 PM/7:00 – 11:00 PM",17
"Monday: 7:00 AM – 7:00 PM,Tuesday: 7:00 AM – 7:00 PM,Wednesday: 7:00 AM – 7:00 PM,Thursday: 7:00 AM – 7:00 PM,Friday: 7:00 AM – 7:00 PM,Saturday: 7:00 AM – 7:00 PM,Sunday: 7:00 AM – 7:00 PM",18
"Monday: 9:30 AM – 12:30 PM/2:30 – 7:30 PM,Tuesday: 9:30 AM – 12:30 PM/2:30 – 7:30 PM,Wednesday: 9:30 AM – 12:30 PM/2:30 – 7:30 PM,Thursday: 9:30 AM – 7:30 PM,Friday: 9:30 AM – 7:30 PM,Saturday: 9:30 AM – 7:30 PM,Sunday: Closed",19
"Monday: Closed,Tuesday: 10:30 AM – 12:30 PM/2:30 – 8:00 PM,Wednesday: 10:30 AM – 12:30 PM/2:30 – 8:00 PM,Thursday: 10:30 AM – 12:30 PM/2:30 – 8:00 PM,Friday: 10:30 AM – 12:30 PM/2:30 – 8:00 PM,Saturday: 10:30 AM – 12:30 PM/2:30 – 8:00 PM,Sunday: Closed",20
"Monday: Closed,Tuesday: 10:00 AM – 1:00 PM/3:00 – 9:30 PM,Wednesday: 10:00 AM – 1:00 PM/3:00 – 9:30 PM,Thursday: 10:00 AM – 1:00 PM/3:00 – 10:30 PM,Friday: 10:00 AM – 12:30 AM,Saturday: 10:00 AM – 10:30 PM,Sunday: Closed",21
"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",22
"Monday: 10:00 AM – 12:00 PM/2:00 – 6:00 PM,Tuesday: 10:00 AM – 12:00 PM/2:00 – 6:00 PM,Wednesday: 10:00 AM – 12:00 PM/2:00 – 6:00 PM,Thursday: 10:00 AM – 12:00 PM/2:00 – 6:00 PM,Friday: 10:00 AM – 12:00 PM/2:00 – 6:00 PM,Saturday: 10:00 AM – 12:00 PM/2:00 – 6:00 PM,Sunday: Closed",23
"Monday: Closed,Tuesday: 10:00 AM – 12:30 PM/2:30 – 7:00 PM,Wednesday: 10:00 AM – 12:30 PM/2:30 – 7:00 PM,Thursday: 9:30 AM – 12:30 PM,Friday: 10:00 AM – 12:30 PM/2:30 – 7:00 PM,Saturday: 9:30 AM – 7:00 PM,Sunday: Closed",24
"Monday: 3:00 – 9:00 PM,Tuesday: 10:00 AM – 2:00 PM/3:00 – 9:00 PM,Wednesday: 10:00 AM – 2:00 PM/3:00 – 9:00 PM,Thursday: 10:00 AM – 2:00 PM/3:00 – 9:30 PM,Friday: 10:00 AM – 9:30 PM,Saturday: 10:00 AM – 9:00 PM,Sunday: Closed",25
"Monday: 3:00 – 9:00 PM,Tuesday: 10:00 AM – 2:00 PM/3:00 – 9:00 PM,Wednesday: 10:00 AM – 2:00 PM/3:00 – 9:00 PM,Thursday: 10:00 AM – 2:00 PM/3:00 – 9:30 PM,Friday: 10:00 AM – 9:30 PM,Saturday: 10:00 AM – 9:00 PM,Sunday: Closed",26
"Monday: 10:30 AM – 12:30 PM/2:00 – 7:30 PM,Tuesday: 9:00 AM – 8:00 PM,Wednesday: 9:00 AM – 8:00 PM,Thursday: 9:00 AM – 8:00 PM,Friday: 9:00 AM – 8:00 PM,Saturday: 9:00 AM – 8:00 PM,Sunday: 9:00 AM – 1:00 PM",27
"Monday: 8:30 AM – 8:00 PM,Tuesday: 8:30 AM – 8:00 PM,Wednesday: 8:30 AM – 8:00 PM,Thursday: 8:30 AM – 8:00 PM,Friday: 8:30 AM – 8:30 PM,Saturday: 8:30 AM – 8:30 PM,Sunday: 8:30 AM – 8:00 PM",28
"Monday: 8:30 AM – 7:00 PM,Tuesday: 8:30 AM – 7:00 PM,Wednesday: 8:30 AM – 7:00 PM,Thursday: 8:30 AM – 7:00 PM,Friday: 8:30 AM – 7:00 PM,Saturday: 8:30 AM – 7:00 PM,Sunday: 9:00 AM – 12:00 PM",29
"Monday: Closed,Tuesday: 9:30 AM – 12:30 PM/2:30 – 6:50 PM,Wednesday: 9:30 AM – 12:30 PM/2:30 – 6:50 PM,Thursday: 9:30 AM – 12:30 PM/2:30 – 6:50 PM,Friday: 9:30 AM – 12:30 PM/2:30 – 6:50 PM,Saturday: 9:30 AM – 12:30 PM/2:30 – 6:50 PM,Sunday: Closed",30
"Monday: Closed,Tuesday: 9:30 AM – 12:30 PM/2:30 – 6:50 PM,Wednesday: 9:30 AM – 12:30 PM/2:30 – 6:50 PM,Thursday: 9:30 AM – 12:30 PM/2:30 – 6:50 PM,Friday: 9:30 AM – 12:30 PM/2:30 – 6:50 PM,Saturday: 9:30 AM – 12:30 PM/2:30 – 6:50 PM,Sunday: Closed",31
-,32
"Monday: 8:30 AM – 8:30 PM,Tuesday: 8:30 AM – 8:30 PM,Wednesday: 8:30 AM – 8:30 PM,Thursday: 8:30 AM – 8:30 PM,Friday: 8:30 AM – 8:30 PM,Saturday: 8:30 AM – 8:30 PM,Sunday: Closed",33
"Monday: 10:00 AM – 1:00 PM/2:30 – 8:30 PM,Tuesday: 10:00 AM – 1:00 PM/2:30 – 8:30 PM,Wednesday: 10:00 AM – 1:00 PM/2:30 – 8:30 PM,Thursday: 10:00 AM – 9:00 PM,Friday: 10:00 AM – 9:00 PM,Saturday: 10:00 AM – 8:30 PM,Sunday: Closed",34
"Monday: 3:00 – 9:00 PM,Tuesday: 11:00 AM – 9:00 PM,Wednesday: 11:00 AM – 9:00 PM,Thursday: 11:00 AM – 10:00 PM,Friday: 11:00 AM – 10:00 PM,Saturday: 11:00 AM – 9:00 PM,Sunday: Closed",35
"Monday: 6:00 AM – 8:00 PM,Tuesday: 6:00 AM – 8:00 PM,Wednesday: 6:00 AM – 8:00 PM,Thursday: 6:00 AM – 8:00 PM,Friday: 6:00 AM – 8:00 PM,Saturday: 6:00 AM – 8:00 PM,Sunday: 6:00 AM – 12:00 PM",36
